source,chapter,page,tags,question,a,b,c,d ,answer,display
Appendix,16,813,"Science, Chemistry",Explain how an ionic bond works.,When one atom completely captures the electrons of another to create a bond.,When two ions from similar atoms hit each other at very high speeds.,When two atoms of positive charge split.,When two similar atoms share electrons to create a bond.,A,true 
Appendix,16,817,"Science, Phases",Explain why food molecules cannot change phases.,food molecules are different than non-food molecules,"food molecules are so large, and form many weak bonds between molecules that they are held strongly -> takes as much energy to break them apart as it does to break molecules themselves apart",food molecules can only exist in one phase,food molecules can only change phase from solid to liquid,B,true 
Appendix,16,818,"Science, Phases",Infer which transition/definition is correct for the following phase: Gel.,Individual ions are dispersed into a liquid.,Substance is dispersed into liquid in clusters consisting of molecules.,Dispersion of gas bubbles in a liquid or solid.,"Dispersion of water into a solid, sponge-like, form.",D,true 
Appendix,16,813,"Science, Chemistry",Explain a covalent bond.,When two or more atoms bond together.,"Encounters among atoms and molecules that result in the loss, gain, or sharing of electrons.","The result when an atom completely captures one or more electrons of another atom, and then two atoms experience an attractive force due to their opposite electrical charges.","When atoms share electrons, and thereby form stable combinations called molecules.",D,true 
Appendix,16,815,"Science, Energy",Select the activity that is classified as kinetic energy.,vibrate,boil,burn,osmosis,A,true 
Appendix,16,817,"Science, Molecules, Phases",Explain why not all molecules cooks work with will change phases.,They all will change phases with enough energy inserted.,Some molecules are very small and will not change,Some molecules can not receive enough energy to go through the change.,Some molecules are large and strong and will transform but not change phase,D,true 
Appendix,16,815,"Science, Energy",Compare heat and temperature and the way they interact.,Temperature is the measure of heat and is used to transform matter.,Temperature and heat are both a measure of either Fahrenheit or Celsius.,Heat is the measure of energy and temperature is a manifestation of a materials energy.,"Heat is a manifestation of a material's energy, and temperature is a measure of that energy.",D.,true 
Appendix,16,817,"Science, Phases",Explain what sublimation is.,Sublimation is the process of matter transforming into different phases,Sublimation is the process of liquids transforming into a solid,Sublimation is the direct transformation of a gas into a solid,Sublimation is the direct transformation of a solid into a gas,D,true 
Appendix,16,813,"Science, Chemistry",Select the kind of chemical bond in which one in which one atom completely captures the electron(s) of another.,Covalent,Ionic,Hydrogen,Atomic,B,true 
Appendix,16,815,"Science, Energy",Explain the process and ideas behind temperature.,The amount of energy released from participating atoms when forming a bond.,A physical system that makes change possible.,The flickering electrical attraction that even non-polar molecules can feel.,"A measurement of heat, or the amount of molecular movement in something.",D,true 
